source,date posted,title,description,url,transmission,location,price,year,mileage,YearScore,MileageScore,PriceScore,TotalScore,PMScore,
autoTRADER,,2013 hyundai accent gl,"sale date: 29th september 2016
the vehicle may not contain all of the features specified. the ...",http://wwwb.autotrader.ca/a/Hyundai/Accent/Etobicoke/Ontario/5_28987898_20160419164952262/?showcpo=ShowCPO&orup=23_100_25,,within 23 km,"$6,050",2013,"31,947",0.75,1,0.4875,2.2375,1.4875,http://wwwb.autotrader.ca/a/Hyundai/Accent/Etobicoke/Ontario/5_28987898_20160419164952262/?showcpo=ShowCPO&orup=23_100_25
Kijiji,26/08/2016,2010 pontiac g3 sedan,"i want to sell my pontiac g3. it is in excellent condition, and has only been driven 85000 kms. i used this car for going to university but i no longer need it. i just changed the battery of this car‰Û_",http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2010-pontiac-g3-sedan/1193720837,automatic,mississauga / peel region,"$4,000.00",2010,"85,000",0,0.214762518,1,1.214762518,1.214762518,
Kijiji,25/08/2016,2011 chevrolet aveo aveo5lt-automatic-ac,,http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2011-chevrolet-aveo-aveo5lt-automatic-ac/1193377750,automatic,mississauga / peel region,"$7,399.00",2011,"40,759",0.25,0.869573583,0.15025,1.269823583,1.019823583,
autoTRADER,,"2011 kia rio ex-tilt,cruse","427/qew kia is your #1 internet used car dealer!! 
read countless positive reviews about us on g...",http://wwwb.autotrader.ca/a/Kia/Rio/Toronto/Ontario/5_27878388_ON20070808232407167/?showcpo=ShowCPO&orup=21_100_25,,within 22 km,"$6,488",2011,"60,549",0.25,0.576661782,0.378,1.204661782,0.954661782,
Kijiji,08/09/2016,2010 hyundai elantra gl,,http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2010-hyundai-elantra-gl/1137523911,automatic,mississauga / peel region,"$5,990.00",2010,"70,625",0,0.427526901,0.5025,0.930026901,0.930026901,
Kijiji,05/09/2016,2011 hyundai elantra touring gl auto 2.0l wagon,,http://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2011-hyundai-elantra-touring-gl-auto-2-0l-wagon/1146342556,automatic,oakville / halton region,"$6,495.00",2011,"70,000",0.25,0.436777526,0.37625,1.063027526,0.813027526,
Kijiji,06/09/2016,2010 chevrolet cobalt lt**gas saver**,,http://www.kijiji.ca/v-cars-trucks/city-of-toronto/2010-chevrolet-cobalt-lt-gas-saver/1188321588,automatic,city of toronto,"$5,988.00",2010,"79,735",0,0.292689786,0.503,0.795689786,0.795689786,
Kijiji,20/08/2016,2011 kia rio,"2011 kia rio. grey. used, in good condition.",http://www.kijiji.ca/v-cars-trucks/guelph/2011-kia-rio/1192056522,automatic,guelph,"$6,000.00",2011,"88,247",0.25,0.166703669,0.5,0.916703669,0.666703669,
autoTRADER,,2011 chevrolet aveo lt,"excellent condition, one owner, clean carproof, mississauga vehicle, automatic trans, sunroof, cr...",http://wwwb.autotrader.ca/a/Chevrolet/Aveo/Mississauga/Ontario/5_26170894_ON20070704162546369/?ursrc=pl&urp=1&urm=1&showcpo=ShowCPO,,within 15 km,"$7,400",2011,"66,047",0.25,0.495285881,0.15,0.895285881,0.645285881,
Kijiji,11/09/2016,2010 mazda mazda3 gs sedan,"2010 mazda 3 little to no rust has original 98,257 km i'm the second owner $5,800 o.b.o. don't waste your time with a low ball offer not a rebuilt !! e-test already done. safety will be done with a‰Û_",http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2010-mazda-mazda3-gs-sedan/1198393728,automatic,mississauga / peel region,"$5,800.00",2010,"98,000",0,0.022349511,0.55,0.572349511,0.572349511,
Kijiji,05/09/2016,2014 ford focus hatchback,great car still under warranty heated seats new tiers very clean serious buyers only bluetooth cruze control,http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2014-ford-focus-hatchback/1196873615,automatic,mississauga / peel region,"$7,900.00",2014,"60,000",1,0.584787532,0.025,1.609787532,0.609787532,
autoTRADER,,"2010 nissan sentra automatic,a/c,power package","carproof verified,certified&e-test; included,absolutely nooo fees,one owner,check our full invento...",http://wwwb.autotrader.ca/a/Nissan/Sentra/Mississauga/Ontario/5_28758010_20091116081503432/?showcpo=ShowCPO&orup=17_100_25,,within 18 km,"$6,985",2010,"82,000",0,0.25916552,0.25375,0.51291552,0.51291552,
autoTRADER,,2010 chevrolet cobalt lt w/1sa,warranty: this vehicle is preapproved for up to 3 years extended warranty cost extra . safety cer...,http://wwwb.autotrader.ca/a/Chevrolet/Cobalt/Mississauga/Ontario/5_28419039_20111010155221562/?showcpo=ShowCPO&orup=9_100_25,,within 16 km,"$7,788",2010,"71,327",0,0.417136598,0.053,0.470136598,0.470136598,
autoTRADER,,2011 chevrolet aveo aveo  lt/accident free,"clean title,excellent condition,fully certified and e-tested,no additional cost or hidden charges...",http://wwwb.autotrader.ca/a/Chevrolet/Aveo/Mississauga/Ontario/5_27625909_20160421102217619/?showcpo=ShowCPO&orup=22_100_25,,within 15 km,"$6,250",2011,"99,510",0.25,0,0.4375,0.6875,0.4375,
autoTRADER,,2010 toyota corolla ce,"clean car, good running condition. does not have air condition. comes with safety and emission. 6...",http://wwwb.autotrader.ca/a/Toyota/Corolla/Hamilton/Ontario/5_28731287_20150515120435564/?showcpo=ShowCPO&orup=20_100_25,,within 24 km,"$6,499",2010,"97,107",0,0.035566804,0.37525,0.410816804,0.410816804,
autoTRADER,,2010 chevrolet cobalt,"for sale - 2010 chevrolet cobalt lt w/1sa 2-door coupe has only 90,000 kilometers. features inclu...",http://wwwb.autotrader.ca/a/Chevrolet/Cobalt/ETOBICOKE/Ontario/19_9410682_/?showcpo=ShowCPO&orup=18_100_25,,within 23 km,"$6,900",2010,"90,000",0,0.140757515,0.275,0.415757515,0.415757515,
Kijiji,10/09/2016,2011 chevrolet cruze ls *best price* gas saver,,http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2011-chevrolet-cruze-ls-best-price-gas-saver/1190741929,automatic,mississauga / peel region,"$7,500.00",2011,"79,911",0.25,0.29008481,0.125,0.66508481,0.41508481,
autoTRADER,,2013 chevrolet spark lt,trade in,http://wwwb.autotrader.ca/a/Chevrolet/Spark/Hamilton/Ontario/5_28998051_ON20071210104952170/?ursrc=hl&showcpo=ShowCPO&orup=4_100_25,,within 25 km,"$7,992",2013,"71,055",0.75,0.421162471,0.002,1.173162471,0.423162471,
